Giorgio Napolitano, Independent,yes
Piero Grasso, PD,yes
Franco Marini,  PD,yes
Marcello Pera,  Independent ,yes
Laura Boldrini,  SI,yes
Pier Ferdinando Casini, UdC,yes
Luciano Violante,  PD,yes
Matteo Renzi, PD,yes
Giuliano Amato,PD ,yes
Enrico Letta,  PD ,yes
Romano Prodi, Independent ,yes
Angelino Alfano, NCD,yes
Maria Elena Boschi, PD,yes
Carlo Calenda,  Independent,yes
Enrico Costa,  NCD,yes
Graziano Delrio,  PD,yes
Dario Franceschini, PD,yes
Gian Luca Galletti,  UdC,yes
Paolo Gentiloni,  PD,yes
Stefania Giannini,  PD,yes
Beatrice Lorenzin, NCD,yes
Marianna Madia,  PD,yes
Maurizio Martina,  PD,yes
Andrea Orlando,  PD,yes
Pier Carlo Padoan, Independent,yes
Roberta Pinotti,  PD,yes
Giuliano Poletti, Independent,yes
Fabrizio Barca,  PD,yes
Emma Bonino, RI [1],yes
Paolo De Castro, PD,yes
Cesare Damiano,  PD,yes
Linda Lanzillotta, PD,yes
Maurizio Lupi, NCD,yes
Giuseppe Fioroni,  PD,yes
Giovanna Melandri,  PD,yes
Arturo Parisi,  PD,yes
Francesco Rutelli, PD,yes
Stefano Bonaccini,  PD,yes
Luca Ceriscioli,  PD,yes
Sergio Chiamparino,  PD,yes
Rosario Crocetta, PD,yes
Vincenzo De Luca,  PD,yes
Catiuscia Marini,  PD,yes
Mario Oliverio,  PD,yes
Francesco Pigliaru, PD,yes
Augusto Rollandin,  UV,yes
Enrico Rossi, PD,yes
Ugo Rossi,  PATT,yes
Debora Serracchiani, PD,yes
Nicola Zingaretti,  PD,yes
Antonio Battista,  PD,yes
Enzo Bianco,  PD ,yes
Luigi Brugnaro,  Independent ,yes
Massimo Cialente, PD ,yes
Antonio Decaro,  PD ,yes
Valeria Mancinelli,  PD ,yes
Virginio Merola,  PD ,yes
Dario Nardella, PD ,yes
Giuseppe Sala, PD,yes
Flavio Tosi, F! ,yes
Walter Veltroni,  PD ,yes
Ferdinando Adornato, AP,yes
Paola Binetti, AP,yes
Lorenza Bonaccorsi, PD,yes
Rocco Buttiglione, AP,yes
Salvatore Capone ,PD,yes
Maria Chiara Carrozza, PD,yes
